rank,username,attempts,pct_of_total
795,ANB,4,0.0004
796,ANC,4,0.0004
797,AND,4,0.0004
798,ANE,4,0.0004
799,ANF,4,0.0004
800,ANG,4,0.0004
801,ANH,4,0.0004
802,ANI,4,0.0004
803,ANJ,4,0.0004
804,ANK,4,0.0004
805,ANL,4,0.0004
806,ANM,4,0.0004
807,ANN,4,0.0004
808,ANO,4,0.0004
809,ANP,4,0.0004
810,ANQ,4,0.0004
811,ANR,4,0.0004
812,ANS,4,0.0004
813,ANT,4,0.0004
814,ANU,4,0.0004
815,ANV,4,0.0004
816,ANW,4,0.0004
817,ANX,4,0.0004
818,ANY,4,0.0004
819,ANZ,4,0.0004
820,AO,4,0.0004
821,AOA,4,0.0004
822,AOB,4,0.0004
823,AOC,4,0.0004
824,AOD,4,0.0004
825,AOE,4,0.0004
826,AOF,4,0.0004
827,AOG,4,0.0004
828,AOH,4,0.0004
829,AOI,4,0.0004
830,AOJ,4,0.0004
831,AOK,4,0.0004
832,AOL,4,0.0004
833,AOM,4,0.0004
834,AON,4,0.0004
835,AOO,4,0.0004
836,AOP,4,0.0004
837,AOQ,4,0.0004
838,AOR,4,0.0004
839,AOS,4,0.0004
840,AOT,4,0.0004
841,AOU,4,0.0004
842,AOV,4,0.0004
843,AOW,4,0.0004
844,AOX,4,0.0004
845,AOY,4,0.0004
846,AOZ,4,0.0004
847,AP,4,0.0004
848,APA,4,0.0004
849,APB,4,0.0004
850,APC,4,0.0004
851,APD,4,0.0004
852,APE,4,0.0004
853,APF,4,0.0004
854,APG,4,0.0004
855,APH,4,0.0004
856,API,4,0.0004
857,APJ,4,0.0004
858,APK,4,0.0004
859,APL,4,0.0004
860,APM,4,0.0004
861,APN,4,0.0004
862,APO,4,0.0004
863,APP,4,0.0004
864,APQ,4,0.0004
865,APR,4,0.0004
866,APS,4,0.0004
867,APT,4,0.0004
868,APU,4,0.0004
869,APV,4,0.0004
870,APW,4,0.0004
871,APX,4,0.0004
872,APY,4,0.0004
873,APZ,4,0.0004
874,AQ,4,0.0004
875,AQA,4,0.0004
876,AQB,4,0.0004
877,AQC,4,0.0004
878,AQD,4,0.0004
879,AQE,4,0.0004
880,AQF,4,0.0004
881,AQG,4,0.0004
882,AQH,4,0.0004
883,AQI,4,0.0004
884,AQJ,4,0.0004
885,AQK,4,0.0004
886,AQL,4,0.0004
887,AQM,4,0.0004
888,AQN,4,0.0004
889,AQO,4,0.0004
890,AQP,4,0.0004
891,AQQ,4,0.0004
892,AQR,4,0.0004
893,AQS,4,0.0004
894,AQT,4,0.0004
895,AQU,4,0.0004
896,AQV,4,0.0004
897,AQW,4,0.0004
898,AQX,4,0.0004
899,AQY,4,0.0004
900,AQZ,4,0.0004
901,AR,4,0.0004
902,ARA,4,0.0004
903,ARB,4,0.0004
904,ARC,4,0.0004
905,ARD,4,0.0004
906,ARE,4,0.0004
907,ARF,4,0.0004
908,ARG,4,0.0004
909,ARH,4,0.0004
910,ARI,4,0.0004
911,ARJ,4,0.0004
912,ARK,4,0.0004
913,ARL,4,0.0004
914,ARM,4,0.0004
915,ARN,4,0.0004
916,ARO,4,0.0004
917,ARP,4,0.0004
918,ARQ,4,0.0004
919,ARR,4,0.0004
920,ARS,4,0.0004
921,ART,4,0.0004
922,ARU,4,0.0004
923,ARV,4,0.0004
924,ARW,4,0.0004
925,ARX,4,0.0004
926,ARY,4,0.0004
927,ARZ,4,0.0004
928,AS,4,0.0004
929,ASA,4,0.0004
930,ASB,4,0.0004
931,ASC,4,0.0004
932,ASD,4,0.0004
933,ASE,4,0.0004
934,ASF,4,0.0004
935,ASG,4,0.0004
936,ASH,4,0.0004
937,ASI,4,0.0004
938,ASJ,4,0.0004
939,ASK,4,0.0004
940,ASL,4,0.0004
941,ASM,4,0.0004
942,ASN,4,0.0004
943,ASO,4,0.0004
944,ASP,4,0.0004
945,ASQ,4,0.0004
946,ASR,4,0.0004
947,ASS,4,0.0004
948,AST,4,0.0004
949,ASU,4,0.0004
950,ASV,4,0.0004
951,ASW,4,0.0004
952,ASX,4,0.0004
953,ASY,4,0.0004
954,ASZ,4,0.0004
955,AT,4,0.0004
956,ATA,4,0.0004
957,ATB,4,0.0004
958,ATC,4,0.0004
959,ATD,4,0.0004
960,ATE,4,0.0004
961,ATF,4,0.0004
962,ATG,4,0.0004
963,ATH,4,0.0004
964,ATI,4,0.0004
965,ATJ,4,0.0004
966,ATK,4,0.0004
967,ATL,4,0.0004
968,ATM,4,0.0004
969,ATN,4,0.0004
970,ATO,4,0.0004
971,ATP,4,0.0004
972,ATQ,4,0.0004
973,ATR,4,0.0004
974,ATS,4,0.0004
975,ATT,4,0.0004
976,ATU,4,0.0004
977,ATV,4,0.0004
