rank,username,attempts,pct_of_total
779,PB,4,0.0004
780,PD,4,0.0004
781,PE,4,0.0004
782,PF,4,0.0004
783,PG,4,0.0004
784,PH,4,0.0004
785,PJ,4,0.0004
786,PK,4,0.0004
787,PL,4,0.0004
788,PM,4,0.0004
789,PN,4,0.0004
790,PO,4,0.0004
791,PP,4,0.0004
792,PQ,4,0.0004
793,PT,4,0.0004
794,PU,4,0.0004
795,PUBLIC,4,0.0004
796,PV,4,0.0004
797,PW,4,0.0004
798,PX,4,0.0004
799,PY,4,0.0004
800,PZ,4,0.0004
801,Q,4,0.0004
802,QB,4,0.0004
803,QC,4,0.0004
804,QD,4,0.0004
805,QE,4,0.0004
806,QF,4,0.0004
807,QG,4,0.0004
808,QH,4,0.0004
809,QI,4,0.0004
810,QJ,4,0.0004
811,QK,4,0.0004
812,QL,4,0.0004
813,QM,4,0.0004
814,QN,4,0.0004
815,QO,4,0.0004
816,QP,4,0.0004
817,QQ,4,0.0004
818,QR,4,0.0004
819,QS,4,0.0004
820,QT,4,0.0004
821,QU,4,0.0004
822,QV,4,0.0004
823,QW,4,0.0004
824,QX,4,0.0004
825,QY,4,0.0004
826,QZ,4,0.0004
827,R,4,0.0004
828,RA,4,0.0004
829,RB,4,0.0004
830,RC,4,0.0004
831,RF,4,0.0004
832,RG,4,0.0004
833,RH,4,0.0004
834,RI,4,0.0004
835,RJ,4,0.0004
836,RK,4,0.0004
837,RL,4,0.0004
838,RM,4,0.0004
839,RN,4,0.0004
840,RO,4,0.0004
841,RP,4,0.0004
842,RQ,4,0.0004
843,RR,4,0.0004
844,RS,4,0.0004
845,RT,4,0.0004
846,RU,4,0.0004
847,RV,4,0.0004
848,RW,4,0.0004
849,RX,4,0.0004
850,RY,4,0.0004
851,RZ,4,0.0004
852,S,4,0.0004
853,SB,4,0.0004
854,SE,4,0.0004
855,SETUP,4,0.0004
856,SF,4,0.0004
857,SH,4,0.0004
858,SHARE,4,0.0004
859,SI,4,0.0004
860,SJ,4,0.0004
861,SK,4,0.0004
862,SL,4,0.0004
863,SM,4,0.0004
864,SN,4,0.0004
865,SO,4,0.0004
866,SP,4,0.0004
867,SQ,4,0.0004
868,SR,4,0.0004
869,SS,4,0.0004
870,STUDENT,4,0.0004
871,SU,4,0.0004
872,SV,4,0.0004
873,SW,4,0.0004
874,SX,4,0.0004
875,SY,4,0.0004
876,SZ,4,0.0004
877,T,4,0.0004
878,TA,4,0.0004
879,TB,4,0.0004
880,TC,4,0.0004
881,TD,4,0.0004
882,TE,4,0.0004
883,TF,4,0.0004
884,TG,4,0.0004
885,TH,4,0.0004
886,TI,4,0.0004
887,TJ,4,0.0004
888,TK,4,0.0004
889,TL,4,0.0004
890,TM,4,0.0004
891,TN,4,0.0004
892,TO,4,0.0004
893,TP,4,0.0004
894,TQ,4,0.0004
895,TR,4,0.0004
896,TS,4,0.0004
897,TT,4,0.0004
898,TU,4,0.0004
899,TW,4,0.0004
900,TX,4,0.0004
901,TY,4,0.0004
902,TZ,4,0.0004
903,U,4,0.0004
904,UA,4,0.0004
905,UB,4,0.0004
906,UC,4,0.0004
907,UD,4,0.0004
908,UE,4,0.0004
909,UF,4,0.0004
910,UG,4,0.0004
911,UH,4,0.0004
912,UI,4,0.0004
913,UJ,4,0.0004
914,UK,4,0.0004
915,UL,4,0.0004
916,UM,4,0.0004
917,UN,4,0.0004
918,UO,4,0.0004
919,UP,4,0.0004
920,UQ,4,0.0004
921,UR,4,0.0004
922,US,4,0.0004
923,UT,4,0.0004
924,UU,4,0.0004
925,UV,4,0.0004
926,UW,4,0.0004
927,UX,4,0.0004
928,UY,4,0.0004
929,UZ,4,0.0004
930,V,4,0.0004
931,VA,4,0.0004
932,VB,4,0.0004
933,VD,4,0.0004
934,VE,4,0.0004
935,VF,4,0.0004
936,VG,4,0.0004
937,VH,4,0.0004
938,VI,4,0.0004
939,VJ,4,0.0004
940,VK,4,0.0004
941,VL,4,0.0004
942,VM,4,0.0004
943,VN,4,0.0004
944,VO,4,0.0004
945,VQ,4,0.0004
946,VR,4,0.0004
947,VS,4,0.0004
948,VT,4,0.0004
949,VU,4,0.0004
950,VV,4,0.0004
951,VX,4,0.0004
952,VY,4,0.0004
953,VZ,4,0.0004
954,W,4,0.0004
955,WA,4,0.0004
956,WC,4,0.0004
957,WD,4,0.0004
958,WE,4,0.0004
959,WF,4,0.0004
960,WG,4,0.0004
961,WH,4,0.0004
962,WI,4,0.0004
963,WJ,4,0.0004
964,WK,4,0.0004
965,WL,4,0.0004
966,WN,4,0.0004
967,WO,4,0.0004
968,WP,4,0.0004
969,WQ,4,0.0004
970,WR,4,0.0004
971,WT,4,0.0004
972,WU,4,0.0004
973,WV,4,0.0004
